Brand,Model,Storage,CPU Model,OS,Rating,Review Count,Graphics,Price ($),Screen_size(Inches),Ram(GB)
HP,14-dq0040nr,64 GB,Celeron N4020,Windows 11 S,4.1,3.338,Intel UHD Graphics,128.99,14.0,4
HP,hp laptop,1 TB,Core I3 1115G4,Windows 11 Home,4.2,1.195,Intel UHD Graphics,279.0,15.6,16
HP,Chromebook 14a-na0226nr,64 GB,Celeron,Chrome OS,4.3,2.11,Intel UHD Graphics 600,140.0,14.0,4
HP,G9,1 TB,Athlon Silver 3050U,Windows 11 Pro,4.8,11.0,AMD Radeon Graphics,299.99,15.6,16
HP,TPN-I139_4V788AV,2 TB,Core i7 Family,Windows 11 Home,4.2,734.0,Intel Iris Xe Graphics,615.0,17.3,64
ASUS,Vivobook,1 TB,Core i3,Windows 11 Pro,4.5,32.0,Intel UHD Graphics,499.99,17.3,40
ASUS,Strix G16,1 TB,Core i7,Windows 11 Home,4.4,1.977,NVIDIA GeForce RTX 4060,1299.88,16.0,16
Lenovo,IdeaPad 3,64 GB,Celeron P4500,Chrome OS,4.3,816.0,Intel HD Graphics,169.88,15.6,8
Lenovo,Lenovo V15 G2 ALC,512 GB,Ryzen 5,Windows 11 Pro,4.3,749.0,AMD Radeon Graphics,384.97,15.6,16
HP,HP Laptop,NO SSD,Celeron N,Windows 11 Home,4.1,2.475,Intel UHD Graphics 600,239.99,14.0,8
Lenovo,IdeaPad 1i,512 GB,Core i5 Family,Windows 11 Home,4.3,63.0,Intel UHD Graphics,390.0,15.6,16
Lenovo,V15 G4,512 GB,Core i5 Family,Windows 11 Pro,4.3,633.0,Intel UHD Graphics,549.98,15.6,16
ist computers,HP 14 Laptop,128 GB,Celeron,Windows 11 Home,4.2,60.0,Intel UHD Graphics 600,229.98,14.0,4
Apple,MacBook Pro,1 TB,Apple M4,NO OS,4.8,315.0,NO GRAPHIC CARD,3432.45,16.2,48
HP,HP Stream,64 GB,Celeron N,Windows 11 S,4.3,1.513,Intel UHD Graphics,606.11,14.0,16
acer,Nitro V,512 GB,Intel Core i5,Windows 11 Home,4.1,723.0,NVIDIA GeForce RTX 4050,738.0,15.6,8
Lenovo,IdeaPad 1 15IAU7,512 GB,Core i3 Family,Windows 11 Home,4.3,108.0,Intel UHD Graphics,282.79,15.6,16
Dell,Dell Latitude 7400,1 TB,Core i5,Windows 11,4.3,213.0,Intel HD Graphics 620,399.99,14.0,32
NIMO,Nimo N151,1 TB,Pentium Other,Windows 11,4.6,309.0,Integrated Graphics,459.99,15.6,16
Dell,Dell Inspiron 15 3530 Laptop,NO SSD,Core i5 Family,Windows 11 Home,4.4,233.0,Intel Iris Xe Graphics,299.99,15.6,16
HP,HP Laptop,512 GB,Core i5,Windows 11 Pro,4.0,29.0,Intel Iris Xe Graphic,245.99,15.6,64
Dell,dell 3100,16 GB,Celeron N4000,Chrome OS,3.9,1.157,Intel,772.59,11.6,4
HP,HP Laptop 15-ef2099nr,256 GB,Ryzen 5,Windows 11 Home,4.4,316.0,AMD Radeon Graphics 5500,270.0,15.6,8
Apple,MacBook Air,256 GB,Apple M4,NO OS,4.8,934.0,NO GRAPHIC CARD,556.99,13.6,16
acer,Laptop,128 GB,Ryzen 3,Windows 11 S,4.2,4.612,AMD Radeon Graphics,330.0,15.6,8
Lenovo,Lenovo V15 G4 ABP,1 TB,AMD Ryzen 7,Windows 11 Pro,4.2,300.0,AMD Radeon Graphics,330.0,15.6,40
Dell,Dell Inspiron,1 TB,Core i5,Windows 11 Pro,4.3,444.0,Intel UHD Graphics,330.0,15.6,16
